fact_no	status	fact_text
1	Admitted	"The document at Annexure A, Tab 1 is a role description for the position of Administration Officer, Switchboard Services, Logan Hospital, which states the classification as ""A03"". (Annexure A, Tab 1)"
2	Admitted	"That role description states: ""The occupant of this position is required to work continuous shift work over the full 24-hour period, 7 days a week"". (Annexure A, Tab 1)"
3	Admitted	"That role description states: ""This position reports to the Switchboard Manager, Corporate Services, Logan Hospital"". (Annexure A, Tab 1)"
4	Admitted	"That role description names the contact for the position as ""Chloe Taylor"". (Annexure A, Tab 1)"
5	Admitted	"That role description states, as a key responsibility: ""Maintain call queues to minimum at all times"". (Annexure A, Tab 1)"
6	Admitted	"That role description states, as a key responsibility: ""Collate information and maintain Omnivista database and SharePoint to ensure information held within Switchboard Services is accurate and appropriate"". (Annexure A, Tab 1)"
7	Admitted	"That role description states, as a key responsibility: ""Provide a service to support hospital staff in the allocation, coordination, and fault repair of all pager units for the hospital. This includes allocating pagers to hospital staff and submitting paging units for repair, maintaining database and registers with accurate and current information"". (Annexure A, Tab 1)"
8	Admitted	"That role description states, as a key responsibility: ""Participate in the Emergency Response process by receiving emergency response notifications and distributing them to the appropriate response groups, dependent on the category of emergency, as per emergency code procedures, strictly adhering to protocols and timeframes"". (Annexure A, Tab 1)"
9	Admitted	"That role description states, as a key responsibility: ""Maintain discretion and exercise judgement where necessary to resolve problems within the scope of your role; in situations where precedence have not been set and procedures not defined"". (Annexure A, Tab 1)"
10	Admitted	"That role description states, as a key responsibility: ""The ability to multitask and operate under pressure, particularly where high volume call traffic is concerned"". (Annexure A, Tab 1)"
11	Admitted	"That role description states, as a key responsibility: ""Ability to work effectively as an individual with limited supervision to meet deadlines and establish work priorities, and work as a member of a multi-disciplinary team in a changing environment"". (Annexure A, Tab 1)"
12	Admitted	"That role description states, as a key responsibility: ""Follow defined service quality standards, occupational health and safety policies and procedures relating to the work being undertaken to ensure high quality, safe services and workplaces"". (Annexure A, Tab 1)"
13	Admitted	"That role description states, under mandatory requirements: ""The position is a continuous shift working role. You must be able to work a roster which covers multiple shifts over a 24/7 period"". (Annexure A, Tab 1)"
14	Admitted	Metro South Hospital and Health Service approved three movement forms recording changes to the Appellant's working hours, dated 27 February 2026, 17 April 2026 and 9 June 2026, each approved by Mr Scott Hughes as delegate. (Annexure A, Tabs 17-19)
15	Admitted	"Each of those three movement forms records the Appellant's shift arrangements as ""Continuous Shift Worker"". (Annexure A, Tabs 17-19)"
16	Admitted	The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not allege that the Appellant ceased to be a continuous shift worker at any time before 18 June 2024.
17	Admitted	The Appellant signed an agreement allowing an 8-hour break between shifts on 17 June 2020. (Annexure A, Tab 25)
18	Admitted	"Review Decision 69983 of the Workers' Compensation Regulator, dated 24 October 2024, records the Appellant's submission that the 8-hour agreement ""was no longer fit for purpose since your transition from casual employment to full-time"". (Annexure A, Tab 25)"
19	Admitted	"That decision records the Appellant's submission that ""since your commencement, you have signed new terms and working arrangements as a full-time employee"". (Annexure A, Tab 25)"
20	Admitted	"That decision records the employer's confirmation that there had been a ""change to your employment contract and adjustments in your working hours"" since 17 June 2020. (Annexure A, Tab 25)"
21	Admitted	The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not allege that the 8-hour agreement of 17 June 2020 was reviewed, re-executed or re-confirmed at any time between 17 June 2020 and 18 March 2024.
22	Admitted	The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not allege that the Appellant was informed, at any time before 1 May 2024, that the 8-hour agreement of 17 June 2020 could be terminated by him.
23	Admitted	Review Decision 69983 records that Ms Sandra Johnstone was the Switchboard Line Manager as at 8 December 2021. (Annexure A, Tab 25)
24	Admitted	"That decision records that Ms Danielle Cook was the ""previous Switchboard Manager"", and that ""Ms Taylor was subsequently appointed to the Switchboard Manager role"". (Annexure A, Tab 25)"
25	Admitted	The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not allege that Ms Taylor was the Switchboard Manager on 17 June 2020.
26	Admitted	"On 7 August 2023 at 12:21 pm the Appellant sent an email to Ms Chloe Taylor, Ms Tammy Reese, Ms Patricia Conaghan and Ms Tracey Smith, marked of High importance, which states: ""Furthermore, to meet the demands and the additional hours of the department both Patricia Conaghan and I would like to formally adhoc an additional 2 shifts per fortnight."" (Annexure A, Tab 2)"
27	Admitted	"That email sets out clause 11.7 of the applicable agreement, headed ""Additional Permanent Hours for Part-time Employees"". (Annexure A, Tab 2)"
28	Admitted	"On 8 August 2023 at 4:15 pm Ms Reese sent an email to the Appellant which states: ""With regards to an additional shift to replace the shift you did not work Monday due to a rostering error I believe Chloe offered you the shift tomorrow Wednesday 9th 0700-1500, thus can I ask if you are interested in picking up that shift? I believe you will then have 8 shifts this fortnight if you were to pick up that shift, thus can I ask were you looking for another shift on top of those 8 to replace the shift missed today also?"" (Annexure A, Tab 2)"
29	Admitted	"On 8 August 2023 at 6:06 pm the Appellant sent an email to Ms Reese which states: ""I can confirm that I will be in tomorrow 0700-1500 9th August. I was also looking to pick up another shift if possible."" (Annexure A, Tab 2)"
30	Admitted	"On 31 August 2023 the Appellant provided to Ms Taylor a written application headed ""Request to Increase Working Hours to Full Time Rotational Roster"". (Annexure A, Tab 4)"
31	Admitted	"That application states: ""I have also expressed my willingness to take on additional night shifts as part of the roster and advocacy to become a union representative for the switchboard department."" (Annexure A, Tab 4)"
32	Admitted	That application of 31 August 2023 records, in the same sentence, the Appellant's advocacy to become a union representative for the switchboard department and his willingness to take on additional night shifts. (Annexure A, Tab 4)
33	Admitted	"On 4 September 2023 the Appellant sent an email to Ms Reese which states: ""I confirm that I am able and willing to work any roster that is presented to me, including the current schedule with full 24-hour availability."" (Annexure A, Tab 3)"
34	Admitted	"That email states: ""I have no issues with shift work."" (Annexure A, Tab 3)"
35	Admitted	That email attached a draft roster spreadsheet prepared by the Appellant. (Annexure A, Tab 3)
36	Admitted	"On 8 September 2023 at 11:42 am Ms Reese sent an email to the Appellant which states: ""I am glad to hear things seem to be going well with Chloe and I am also glad to hear you applied for the additional shifts through the recent EOI."" (Annexure A, Tab 3)"
37	Admitted	"On 27 September 2023 at 1:52 pm Ms Taylor sent an email to the Appellant with the subject ""Approved - Permanent Full Time FTE"" which states: ""Just giving you an update on your application for Permanent Fulltime hours, I am very pleased to advise you that this has been approved."" (Annexure A, Tab 5)"
38	Admitted	"That email states: ""happy to commence Full-time hours from the 16th October 2023"". (Annexure A, Tab 5) STRESSOR 1(a) - THE DATABASE, THE DIRECTIVES ISSUED WITHOUT CONSULTATION, AND THE"
39	Admitted	"On 18 July 2023 at 12:56 pm Ms Ellen Stibbard, Switchboard Telecommunications Coordinator, sent an email to the Appellant and the Switchboard team, subject ""Hello & Update"", which states: ""My current role is a project role for the Switchboard team. It is a temporary position that predominantly focuses on fixing up the database that switchboard utilises."" (Annexure A, Tab 1A)"
40	Admitted	"That email states: ""While I am fixing up the database and all of its entries, I will be removing everyone's access to the database."" (Annexure A, Tab 1A)"
41	Admitted	"That email states that Ms Stibbard's working hours were ""every Tuesday and second Monday, 8:00 - 16:00"". (Annexure A, Tab 1A)"
42	Admitted	"That email states that a person wanting an entry updated was to ""contact me directly, either via email or extension"". (Annexure A, Tab 1A)"
43	Admitted	That email states that if an entry was needed on a day Ms Stibbard was not present and was urgent, it was to be sent to Ms Taylor. (Annexure A, Tab 1A)
44	Admitted	"That email states that a request made ""after hours (overnights, on the weekend or public holiday)"" would ""have to wait until either Chloe or myself are back"". (Annexure A, Tab 1A)"
45	Admitted	"That email states: ""I have also removed the Contact & Number Changes book out of the room, as I would prefer, for now, to be sent all changes to my email."" (Annexure A, Tab 1A)"
46	Admitted	"Review Decision 69983 records: ""Ms Ellen Stibbard, Switchboard Telecommunications Coordinator, emailed the staff members on 18 July 2023 to provide an update with respect to her role."" (Annexure A, Tab 25)"
47	Admitted	"That decision records: ""She explained her role was a project role, which was a temporary position that focused on fixing the database used by the switchboard."" (Annexure A, Tab 25)"
48	Admitted	"That decision records: ""She informed that while she fixed it, she would be removing everyone's access to it, and asked for anyone who needed to amend, add or remove entries, to directly contact her or Ms Taylor."" (Annexure A, Tab 25)"
49	Admitted	"On 15 April 2024 at 12:39 pm Ms Taylor sent an email to Logan Switch, copied to Ms Reese and to Switchboard staff including the Appellant, with the subject ""Afterhours Oncall Process - Switchboard"". (Annexure A, Tab 6)"
50	Admitted	"That email states: ""Process during office hours remains the same, please contact myself through switch/office or mobile unless otherwise advised."" (Annexure A, Tab 6)"
51	Admitted	"That email states: ""This new process is effective from today."" (Annexure A, Tab 6)"
52	Admitted	"That email states: ""You will see that Ellen and myself have added Afterhours on call, the days that are highlighted in purple show who is on call after hours."" (Annexure A, Tab 6)"
53	Admitted	"Ms Taylor signed that email as ""A/Switchboard Manager"". (Annexure A, Tab 6)"
54	Admitted	"Review Decision 69983 records: ""On 19 April 2024, Ms Taylor emailed the team and expressed that due to errors being made with respect to data entry, a new process was to be followed which included more checks to ensure accuracy of data entry."" (Annexure A, Tab 25)"
55	Admitted	The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not allege that access to the database used by the Switchboard was restored to the Appellant at any time before 18 June 2024.
56	Admitted	"On 3 May 2024 at 3:06 pm Vivian Kwok, MASPER Registrar, sent an email to Ms Taylor, copied to Dr Pan Jane Wong, with the subject ""Switchboard issues 2nd and 3rd May 2024"", which states: ""I've been requested to email you with the list of switchboard issues from yesterday and today"". (Annexure A, Tab 8B)"
57	Admitted	That email lists five occasions on 2 and 3 May 2024, being 2 May 2024 at 14:47, and 3 May 2024 at 10:00 am, 10:22 am, 11:43 am and 14:46. (Annexure A, Tab 8B)
58	Admitted	"That email records of the occasion at 14:46 on 3 May 2024: ""MET call team called x5290 asking where MET call was located 'VHUB' - switchboard could not tell them where VHUB was. Had to be redirected by MASPER"". (Annexure A, Tab 8B)"
59	Admitted	"On 8 May 2024 at 5:28 pm Vivian Kwok sent a further email to Ms Taylor, copied to Dr Wong, with the subject ""Re: Switchboard issues 5 May, 7 May, and 8 May"", which states: ""Here are the switchboard issues 5th May to 8th of May"". (Annexure A, Tab 8B)"
60	Admitted	That further email lists four occasions, being 5 May 2024 at 14:45, 7 May 2024 at 0745, and 8 May 2024 at 8:53 am and 9:59 am. (Annexure A, Tab 8B)
61	Admitted	"That further email records of the occasions on 8 May 2024 that a call was ""incorrectly put through to MASPER"" on each occasion. (Annexure A, Tab 8B)"
62	Admitted	The email of Vivian Kwok of 8 May 2024 was sent on the fifth calendar day after her email of 3 May 2024.
63	Admitted	The email of Ms Taylor of 9 May 2024 at 9:20 am was sent on the sixth calendar day after the email of Vivian Kwok of 3 May 2024 at 3:06 pm.
64	Admitted	The interval between the email of Vivian Kwok of 3 May 2024 at 3:06 pm and the email of Ms Taylor of 9 May 2024 at 9:20 am is five days, eighteen hours and fourteen minutes.
65	Admitted	"On 9 May 2024 at 9:20 am Ms Taylor sent an email to Vivian Kwok, MASPER Registrar, and Dr Pan Jane Wong, subject ""RE: Switchboard issues 5 May, 7 May, and 8 May"", which states: ""@Pan Jane Wong Can I please confirm your business hours so we can have this for our reference, it is not provided on the rosters. I have noticed your dect phone number #5997 is currently switched off."" (Annexure A, Tab 8B)"
66	Admitted	"On 9 May 2024 at 10:15 am Ms Taylor sent an email to Logan Switch, copied to Switchboard staff including the Appellant, subject ""MASPER process"", which states: ""To try and eliminate this can I please ask that all calls that switch transfer to the MASPER phone #5223 are being introduced."" (Annexure A, Tab 8B)"
67	Admitted	"Ms Taylor's email to Logan Switch of 9 May 2024 at 10:15 am states: ""I have included below email trail for your reference. There have been many ongoing issues raised by the MASPER and the medical department about calls being transferred to the wrong medical teams."" (Annexure A, Tab 8B)"
68	Admitted	The occasions reported by Vivian Kwok on 3 and 8 May 2024 occurred while the after-hours on-call arrangement notified by Ms Taylor on 15 April 2024 was in force.
69	Admitted	The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not allege that any communication was sent to Logan Switch or to the Switchboard staff concerning the occasions reported by Vivian Kwok at any time after 3 May 2024 and before 10:15 am on 9 May 2024.
70	Admitted	"Review Decision 69983 records that in an email dated 23 August 2023 Ms Taylor ""noted her start time would range between 6:00 to 9:00 am, and her finish time would range between 2:00 to 5:00 pm"". (Annexure A, Tab 25)"
71	Admitted	"On 23 August 2023 at 2:18 pm Ms Taylor sent an email to Logan Switch, copied to Switchboard staff including the Appellant, with the subject ""What's Chloe's Hours?!"", which states: ""I am fulltime and work flex hours - You may have noticed recently I am starting at different times in the morning and finish at different times in the afternoon."" (Annexure A, Tab 30)"
72	Admitted	"That email states: ""My hours would range from starting between 6-9am and finishing 2-5pm."" (Annexure A, Tab 30)"
73	Admitted	The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not allege that Ms Taylor stated fixed office hours to the Switchboard staff at any time between 23 August 2023 and 17 May 2024.
74	Admitted	"On 15 May 2024 at 1:15 pm the Appellant sent an email to Ms Taylor and Logan Switch, copied to Switchboard staff, Ms Reese and LBH_HR, with the subject ""Office Hours and Departmental Directives"", which states: ""could you please share your office hours so the entire department can be aware of your regular schedule? There has been some noted inconsistency in your arrival and departure times"". (Annexure A, Tab 9A)"
75	Admitted	"That email of the Appellant states: ""please ensure that any directives and changes within the department is made in consultation with the team to ensure that any concerns can be appropriately addressed."" (Annexure A, Tab 9A)"
76	Admitted	"On 15 May 2024 at 6:23 pm Ms Reese replied to the Appellant, copied to Ms Taylor and marked of High importance, stating that his email ""did not demonstrate our iCARE2 value of Respect and did not comply with our Code of conduct"". (Annexure A, Tab 9A)"
77	Admitted	That reply of Ms Reese asked the Appellant to retract his email. (Annexure A, Tab 9A)
78	Admitted	"On 15 May 2024 at 7:09 pm the Appellant replied to Ms Reese stating: ""Requesting clarity on business hours is a reasonable question, especially when no one in the department can provide a definitive answer in response to directives to contact Chloe during office hours."" (Annexure A, Tab 9A)"
79	Admitted	"On 21 May 2024 at 2:53 pm Ms Reese replied to the Appellant stating: ""With regards to your concerns about having more clarity as to what are Chole's business hours I will follow up on the issues raised."" (Annexure A, Tab 9B)"
80	Admitted	"That reply of Ms Reese states: ""can I ask was there one or more particular changes and/or directives where you had concerns about consultation and communication?"" (Annexure A, Tab 9B)"
81	Admitted	"On 17 May 2024 at 9:30 am Ms Taylor sent an email to Logan Switch, copied to Ms Reese and to Switchboard staff, with the subject ""Switchboard Manager - On call and Hours."", which states: ""regardless of my start/finish times next week you are to please contact me through the day/afterhours either via switch, office or mobile."" (Annexure A, Tab 9)"
82	Admitted	"That email states: ""My office hours can vary due to having to take my girls to school in the morning, on the days that I do have school drop off I always let switch know that I will be in later between 0800-830am. Otherwise my hours are from 06:30-14:30."" (Annexure A, Tab 9)"
83	Admitted	"That email of 17 May 2024 at 9:30 am states: ""I will not be in the office until around 11am on Monday 20.05.2024"". (Annexure A, Tab 9)"
84	Admitted	"That email states: ""Moving forward so communication is clear for the team, I will be sending an email to switch to advise of any change to my office hours for the week."" (Annexure A, Tab 9)"
85	Admitted	"On 18 June 2024 at 8:58 am Ms Taylor sent an email to Logan Switch, copied to Ms Reese and Ms Stibbard, with the subject ""Good morning Team."", which states: ""I am taking today off, and hopefully will be back tomorrow."" (Annexure A, Tab 30A)"
86	Admitted	"That email of 18 June 2024 states: ""I am sorry I haven't been there for you all over the past week."" (Annexure A, Tab 30A)"
87	Admitted	"That email of 18 June 2024 states: ""Ellen will not be in today, however Tammy is in the office if anything urgent."" (Annexure A, Tab 30A)"
88	Admitted	The office hours stated by Ms Taylor in her email of 17 May 2024 at 9:30 am concluded at 2:30 pm. (Annexure A, Tab 9)
89	Admitted	"On 15 May 2024 at 11:47 am Ms Sue Marriott, Administration Officer, Integrated Respiratory Service, sent an email to Logan Switch, marked of High importance, which states: ""Could you please amend your number registry/directory to show #8768 belongs to the Integrated Respiratory Service... We are not Respiratory Medical OPD and we do not have any doctors working out of this area."" (Annexure A, Tab 11)"
90	Admitted	The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not allege that any response was made to the email of Ms Marriott of 15 May 2024 at 11:47 am at any time before 20 May 2024.
91	Admitted	"On 20 May 2024 at 11:03 am Ms Marriott sent a further email to Logan Switch, marked of High importance, which states: ""Just a courtesy reminder, we continue to get calls put through to us for Respiratory Medical Outpatients... we can not help patients or other clinical staff with OPD issues."" (Annexure A, Tab 11)"
92	Admitted	The email of Ms Marriott of 20 May 2024 at 11:03 am was sent on the fifth calendar day after her email of 15 May 2024 at 11:47 am. (Annexure A, Tab 11)
93	Admitted	The Respondent's amended statement of facts and contentions dated 13 May 2026, as presently constituted, does not allege that any response was made to the email of Ms Marriott of 20 May 2024 at 11:03 am before 2:05 pm on that day.
94	Admitted	"On 20 May 2024 at 2:05 pm the Appellant sent an email to Ms Taylor, marked of High importance, which states: ""switchboard staff may not be aware of the clinics due to modifications to the Document: Outpatients Department - Clinic contact Details. on the 22nd of February 2024. I recommend a modification and review of the document."" (Annexure A, Tab 11)"
95	Admitted	That email of the Appellant was sent from the Logan Switch account. (Annexure A, Tab 11)
